"Label (Grouping)","United States!!Median earnings (dollars) !!Total!!Estimate","United States!!Median earnings (dollars) !!Total!!Margin of Error","United States!!Median earnings (dollars) !!Male!!Estimate","United States!!Median earnings (dollars) !!Male!!Margin of Error","United States!!Median earnings (dollars) !!Female!!Estimate","United States!!Median earnings (dollars) !!Female!!Margin of Error","United States!!Women's earnings as a percentage of men's earnings!!Estimate","United States!!Women's earnings as a percentage of men's earnings!!Margin of Error"
"        Management occupations","71,112","±172","80,214","±218","60,263","±235","75.1%","±0.4"
"        Business and financial operations occupations","60,934","±145","70,728","±319","54,018","±445","76.4%","±0.7"
"        Computer and mathematical occupations","77,975","±788","81,043","±259","70,786","±507","87.3%","±0.6"
"        Architecture and engineering occupations","77,429","±486","80,191","±343","66,818","±1,091","83.3%","±1.5"
"        Life, physical, and social science occupations","61,920","±403","66,545","±937","57,875","±1,437","87.0%","±2.5"
"        Community and social services occupations","42,238","±169","44,335","±635","41,657","±205","94.0%","±1.5"
"        Legal occupations","85,320","±1,335","120,569","±704","62,167","±648","51.6%","±0.6"
"        Education, training, and library occupations","48,026","±249","55,730","±337","45,162","±206","81.0%","±0.6"
"        Arts, design, entertainment, sports, and media occupations","51,028","±289","54,084","±1,417","46,698","±518","86.3%","±2.4"
"        Healthcare practitioner and technical occupations","60,631","±152","77,993","±1,616","56,151","±254","72.0%","±1.5"
"        Healthcare support occupations","27,174","±124","30,526","±410","26,894","±135","88.1%","±1.3"
"        Protective service occupations","49,555","±575","51,369","±271","40,422","±434","78.7%","±0.9"
"        Food preparation and serving related occupations","21,513","±98","22,709","±321","20,202","±136","89.0%","±1.4"
"        Building and grounds cleaning and maintenance occupations","25,507","±122","28,153","±358","20,931","±137","74.3%","±1.1"
"        Personal care and service occupations","23,718","±248","29,685","±738","22,201","±138","74.8%","±1.8"
"        Sales and related occupations","41,747","±142","50,567","±171","32,122","±143","63.5%","±0.4"
"        Office and administrative support occupations","35,365","±82","38,667","±365","34,069","±156","88.1%","±0.8"
"        Farming, fishing, and forestry occupations","25,282","±318","26,500","±309","18,915","±654","71.4%","±2.6"
"        Construction and extraction occupations","40,042","±191","40,133","±147","32,481","±1,933","80.9%","±4.8"
"        Installation, maintenance, and repair occupations","44,262","±394","44,462","±401","41,195","±784","92.7%","±2.0"
"        Production occupations","35,891","±111","40,113","±116","26,561","±145","66.2%","±0.4"
"        Transportation occupations","40,763","±165","41,394","±172","31,001","±606","74.9%","±1.5"
"        Material moving occupations","30,037","±159","30,982","±141","23,841","±418","77.0%","±1.4"
"INDUSTRY","","","","","","","",""
"    Agriculture, forestry, fishing and hunting","31,046","±219","31,774","±216","23,854","±1,006","75.1%","±3.2"
"    Mining, quarrying, and oil and gas extraction","66,866","±876","69,085","±1,976","56,495","±1,409","81.8%","±3.1"
"    Construction","41,536","±120","41,655","±125","40,370","±404","96.9%","±1.0"
"    Manufacturing","46,792","±170","50,614","±134","37,952","±367","75.0%","±0.7"
"    Wholesale trade","46,929","±283","50,235","±232","40,787","±312","81.2%","±0.8"
"    Retail trade","32,268","±82","36,865","±157","28,708","±213","77.9%","±0.7"
"    Transportation and warehousing","46,875","±239","49,030","±501","41,139","±345","83.9%","±1.2"
"    Utilities","65,832","±553","70,376","±454","53,862","±1,801","76.5%","±2.6"
"    Information","60,081","±320","65,663","±510","50,555","±427","77.0%","±0.9"
"    Finance and insurance","56,179","±337","78,385","±1,686","46,044","±263","58.7%","±1.3"
"    Real estate and rental and leasing","44,145","±756","46,728","±594","41,615","±316","89.1%","±1.3"
"    Professional, scientific, and technical services","70,467","±221","82,088","±275","53,493","±701","65.2%","±0.9"
"    Management of companies and enterprises","64,229","±3,914","78,529","±4,606","52,518","±2,968","66.9%","±5.2"
"    Administrative and support and waste management services","31,715","±118","32,417","±196","30,402","±226","93.8%","±1.0"
"    Educational services","47,426","±138","51,964","±162","45,394","±160","87.4%","±0.4"
"    Health care and social assistance","41,064","±110","53,213","±812","37,791","±249","71.0%","±1.1"
"    Arts, entertainment, and recreation","36,114","±317","38,351","±862","32,539","±739","84.8%","±2.6"
"    Accommodation and food services","24,499","±198","26,422","±186","21,932","±113","83.0%","±0.7"
"    Other services (except public administration)","32,878","±391","37,470","±332","28,657","±570","76.5%","±1.7"
"    Public administration","55,002","±312","61,368","±198","47,496","±378","77.4%","±0.6"
"CLASS OF WORKER","","","","","","","",""
"    Employee of private company workers","41,519","±53","46,662","±105","36,075","±69","77.3%","±0.2"
"    Self employed in own incorporated business workers","57,322","±686","61,744","±189","43,987","±1,833","71.2%","±3.0"
"    Private not-for-profit wage and salary workers","46,651","±156","51,722","±233","43,584","±304","84.3%","±0.7"
"    Local government workers","48,895","±255","52,912","±455","44,667","±319","84.4%","±0.9"
"    State government workers","47,974","±294","52,488","±405","44,599","±363","85.0%","±0.8"
"    Federal government workers","62,204","±230","65,892","±427","58,066","±935","88.1%","±1.5"
"    Self employed in own not incorporated business workers and unpaid family workers","34,117","±712","38,057","±954","26,712","±245","70.2%","±1.9"
"PERCENT IMPUTED","","","","","","","",""
"    Earnings in the past 12 months","20.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Race","1.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Hispanic or Latino origin","1.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Educational attainment","7.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Occupation","11.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Industry","11.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Class of worker","9.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
