Year,Label (Grouping),United States!!Median earnings (dollars) !!Total!!Estimate,United States!!Median earnings (dollars) !!Total!!Margin of Error,United States!!Median earnings (dollars) !!Male!!Estimate,United States!!Median earnings (dollars) !!Male!!Margin of Error,United States!!Median earnings (dollars) !!Female!!Estimate,United States!!Median earnings (dollars) !!Female!!Margin of Error,United States!!Women's earnings as a percentage of men's earnings!!Estimate,United States!!Women's earnings as a percentage of men's earnings!!Margin of Error
2011,    Protective service occupations,"49,447",±740,"51,530",±317,"39,197",±889,76.1%,±1.8
2011,    Food preparation and serving related occupations,"20,815",±118,"22,048",±163,"19,431",±210,88.1%,±1.1
2011,    Building and grounds cleaning and maintenance occupations,"24,780",±170,"27,573",±282,"20,571",±164,74.6%,±0.9
2011,    Personal care and service occupations,"23,164",±256,"30,456",±357,"21,555",±157,70.8%,±1.0
2011,    Sales and related occupations,"40,638",±140,"48,229",±492,"31,342",±193,65.0%,±0.8
2011,    Office and administrative support occupations,"34,235",±117,"37,657",±358,"33,021",±137,87.7%,±1.0
2011,"    Farming, fishing, and forestry occupations","24,177",±372,"25,127",±382,"19,298",±736,76.8%,±3.2
2011,    Construction and extraction occupations,"39,597",±484,"39,768",±456,"34,856","±1,656",87.6%,±4.1
2011,"    Installation, maintenance, and repair occupations","42,393",±171,"42,414",±181,"41,822",±769,98.6%,±1.8
2011,    Production occupations,"34,713",±243,"38,344",±261,"26,241",±197,68.4%,±0.6
2011,    Transportation occupations,"39,057",±393,"40,304",±159,"30,098",±646,74.7%,±1.6
2011,    Material moving occupations,"28,595",±342,"30,117",±218,"24,135",±385,80.1%,±1.3
2011,INDUSTRY,,,,,,,,
2011,"    Agriculture, forestry, fishing and hunting","30,140",±230,"30,689",±245,"24,889","±1,005",81.1%,±3.3
2011,"    Mining, quarrying, and oil and gas extraction","60,798",±385,"61,617",±394,"48,417","±3,453",78.6%,±5.7
2011,    Construction,"41,272",±151,"41,363",±160,"40,412",±412,97.7%,±1.1
2011,    Manufacturing,"45,400",±184,"49,607",±342,"36,519",±206,73.6%,±0.6
2011,    Wholesale trade,"44,903",±507,"47,562",±633,"39,353",±768,82.7%,±1.9
2011,    Retail trade,"31,899",±92,"36,294",±153,"27,682",±239,76.3%,±0.7
2011,    Transportation and warehousing,"45,892",±252,"47,272",±276,"40,689",±440,86.1%,±1.1
2011,    Utilities,"61,651",±415,"65,207",±809,"51,134",±870,78.4%,±1.7
2011,    Information,"53,477",±672,"60,989",±420,"46,394",±535,76.1%,±1.0
2011,    Finance and insurance,"51,692",±222,"73,776","±1,364","42,112",±204,57.1%,±1.1
2011,    Real estate and rental and leasing,"40,973",±299,"42,175",±397,"39,134",±892,92.8%,±2.2
2011,"    Professional, scientific, and technical services","66,610",±341,"80,655",±315,"51,263",±232,63.6%,±0.4
2011,    Management of companies and enterprises,"65,288","±4,360","88,193","±5,996","48,575","±2,446",55.1%,±5.1
2011,    Administrative and support and waste management services,"31,416",±171,"32,121",±235,"30,211",±263,94.1%,±1.1
2011,    Educational services,"46,288",±158,"51,204",±209,"44,082",±250,86.1%,±0.6
2011,    Health care and social assistance,"40,160",±118,"52,357",±297,"36,665",±127,70.0%,±0.4
2011,"    Arts, entertainment, and recreation","34,850",±594,"36,854",±507,"31,576",±354,85.7%,±1.4
2011,    Accommodation and food services,"23,000",±221,"25,388",±250,"21,190",±162,83.5%,±0.9
2011,    Other services (except public administration),"32,036",±152,"36,510",±270,"27,257",±247,74.7%,±0.9
2011,    Public administration,"52,950",±323,"60,384",±186,"46,171",±226,76.5%,±0.4
2011,CLASS OF WORKER,,,,,,,,
2011,    Employee of private company workers,"40,590",±60,"45,500",±103,"34,722",±139,76.3%,±0.3
2011,    Self employed in own incorporated business workers,"54,456",±912,"60,860",±278,"41,397",±441,68.0%,±0.8
2011,    Private not-for-profit wage and salary workers,"44,142",±248,"50,304",±234,"41,455",±132,82.4%,±0.5
2011,    Local government workers,"47,260",±142,"51,798",±177,"43,734",±282,84.4%,±0.6
2011,    State government workers,"46,198",±169,"51,610",±231,"42,214",±181,81.8%,±0.6
2011,    Federal government workers,"60,157",±262,"62,142",±279,"55,305",±457,89.0%,±0.8
2011,    Self employed in own not incorporated business workers and unpaid family workers,"31,571",±161,"35,879",±233,"24,445",±413,68.1%,±1.1
2011,PERCENT IMPUTED,,,,,,,,
2011,Earnings in the past 12 months,17.4%,(X),(X),(X),(X),(X),(X),(X)
2011,    Race,1.5%,(X),(X),(X),(X),(X),(X),(X)
2011,    Hispanic or Latino origin,1.8%,(X),(X),(X),(X),(X),(X),(X)
2011,    Educational attainment,4.7%,(X),(X),(X),(X),(X),(X),(X)
2011,    Occupation,6.5%,(X),(X),(X),(X),(X),(X),(X)
2011,    Industry,6.1%,(X),(X),(X),(X),(X),(X),(X)
2011,    Class of worker,5.5%,(X),(X),(X),(X),(X),(X),(X)
