"Label (Grouping)","United States!!Median earnings (dollars)!!Total!!Estimate","United States!!Median earnings (dollars)!!Total!!Margin of Error","United States!!Median earnings (dollars)!!Male!!Estimate","United States!!Median earnings (dollars)!!Male!!Margin of Error","United States!!Median earnings (dollars)!!Female!!Estimate","United States!!Median earnings (dollars)!!Female!!Margin of Error","United States!!Women's earnings as a percentage of men's earnings!!Estimate","United States!!Women's earnings as a percentage of men's earnings!!Margin of Error"
"        Accommodation and food services","27,406","±146","30,688","±184","25,293","±203","82.4%","±0.7"
"        Other services (except public administration)","37,452","±284","41,686","±223","32,267","±181","77.4%","±0.6"
"        Public administration","60,517","±189","66,613","±337","51,795","±180","77.8%","±0.5"
"    CLASS OF WORKER","","","","","","","",""
"        Employee of private company workers","46,163","±86","51,126","±71","40,151","±85","78.5%","±0.2"
"        Self employed in own incorporated business workers","61,925","±212","67,488","±1,323","50,490","±368","74.8%","±1.6"
"        Private not-for-profit wage and salary workers","51,814","±120","58,440","±726","50,014","±216","85.6%","±1.1"
"        Local government workers","52,029","±131","58,161","±633","48,760","±368","83.8%","±1.1"
"        State government workers","51,798","±163","57,497","±708","48,994","±330","85.2%","±1.1"
"        Federal government workers","67,781","±645","71,527","±401","62,718","±793","87.7%","±1.1"
"        Self employed in own not incorporated business workers and unpaid family workers","37,539","±448","41,440","±202","30,713","±278","74.1%","±0.8"
"PERCENT ALLOCATED","","","","","","","",""
"    Earnings in the past 12 months","20.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Race","1.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Hispanic or Latino origin","1.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Educational attainment","7.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Occupation","13.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Industry","12.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Class of worker","11.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
