"Label (Grouping)","United States!!Median earnings (dollars) !!Total!!Estimate","United States!!Median earnings (dollars) !!Total!!Margin of Error","United States!!Median earnings (dollars) !!Male!!Estimate","United States!!Median earnings (dollars) !!Male!!Margin of Error","United States!!Median earnings (dollars) !!Female!!Estimate","United States!!Median earnings (dollars) !!Female!!Margin of Error","United States!!Women's earnings as a percentage of men's earnings!!Estimate","United States!!Women's earnings as a percentage of men's earnings!!Margin of Error"
"    Manufacturing","46,350","±155","50,446","±131","36,948","±185","73.2%","±0.4"
"    Wholesale trade","46,540","±296","49,458","±636","40,858","±366","82.6%","±1.2"
"    Retail trade","32,000","±80","36,545","±155","28,353","±270","77.6%","±0.8"
"    Transportation and warehousing","46,767","±218","48,595","±496","41,301","±300","85.0%","±1.1"
"    Utilities","65,430","±502","69,394","±1,143","52,337","±1,006","75.4%","±1.9"
"    Information","56,767","±488","62,310","±419","48,972","±896","78.6%","±1.5"
"    Finance and insurance","53,388","±549","76,535","±555","44,088","±464","57.6%","±0.7"
"    Real estate and rental and leasing","42,433","±376","46,842","±471","40,284","±334","86.0%","±1.0"
"    Professional, scientific, and technical services","70,092","±323","81,838","±268","52,621","±602","64.3%","±0.7"
"    Management of companies and enterprises","68,877","±3,592","90,866","±4,322","52,698","±2,812","58.0%","±4.1"
"    Administrative and support and waste management services","31,506","±145","32,144","±213","30,407","±201","94.6%","±0.9"
"    Educational services","46,786","±147","51,566","±175","44,643","±288","86.6%","±0.6"
"    Health care and social assistance","40,819","±101","52,422","±321","37,410","±112","71.4%","±0.5"
"    Arts, entertainment, and recreation","35,307","±307","36,882","±394","31,915","±335","86.5%","±1.3"
"    Accommodation and food services","23,933","±208","25,900","±221","21,737","±142","83.9%","±0.9"
"    Other services (except public administration)","32,387","±141","37,089","±288","28,253","±465","76.2%","±1.3"
"    Public administration","53,849","±350","60,954","±216","46,957","±260","77.0%","±0.5"
"CLASS OF WORKER","","","","","","","",""
"    Employee of private company workers","41,185","±51","46,304","±102","35,695","±72","77.1%","±0.2"
"    Self employed in own incorporated business workers","56,873","±737","61,601","±264","43,322","±1,870","70.3%","±3.0"
"    Private not-for-profit wage and salary workers","46,235","±192","51,389","±231","42,713","±408","83.1%","±0.8"
"    Local government workers","47,885","±260","52,008","±163","44,045","±357","84.7%","±0.7"
"    State government workers","47,044","±162","52,002","±195","43,258","±366","83.2%","±0.8"
"    Federal government workers","61,336","±225","64,688","±760","56,753","±366","87.7%","±1.2"
"    Self employed in own not incorporated business workers and unpaid family workers","32,492","±526","37,653","±894","25,596","±332","68.0%","±1.8"
"PERCENT IMPUTED","","","","","","","",""
"    Earnings in the past 12 months","20.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Race","1.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Hispanic or Latino origin","2.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Educational attainment","7.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Occupation","10.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Industry","9.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Class of worker","8.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
